Unnamed: 0,Starosne grupe,Muskarac,Zena
Beograd ,15–19,44140,42086
,20–24,54575,54749
,25–29,62623,65847
,30–34,59505,63829
,35–39,52995,56515
,40–44,49637,54419
,45–49,51540,59331
,50–54,61191,70823
,55–59,58533,70628
,60–64,36519,44578
Vojvodina,15–19,63875,60949
,20–24,71487,67911
,25–29,72528,68071
,30–34,69281,66601
,35–39,64774,63646
,40–44,67951,68653
,45–49,72753,73843
,50–54,80332,81425
,55–59,71417,76002
,60–64,45558,54247
Sumadija i Zapadna Srbija,15–19,66761,63506
,20–24,72670,69205
,25–29,70146,66431
,30–34,69670,67782
,35–39,64888,65604
,40–44,66576,68018
,45–49,74787,76509
,50–54,86348,86051
,55–59,74782,75970
,60–64,47536,52103
Juzna i Jugoistocna Srbija,15–19,53731,51284
,20–24,56395,53550
,25–29,55668,52064
,30–34,57218,54912
,35–39,54994,53643
,40–44,54522,53672
,45–49,57901,55798
,50–54,64883,63379
,55–59,62373,63125
,60–64,42057,45638
